SKU,url,name,Unit,QTY on Hand,Our Price,Selling Price,KM PRICE,Account,Taxable?,Description,Cost Price,Account.1,Owner Type,Equipment Category,image_url
120112120211,https://kmrentaleq.com/Anton-Bauer-Battery-Belt-13v-30v-Gold-Mount.html,Anton Bauer | Battery Belt | 13v-30v | Gold Mount,Rental Duration (hr),2,,$50.00,$50.00,Rental Sales,Yes,,$30.00,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/VD1016-1.jpg
164886819216,https://kmrentaleq.com/Anton-Bauer-Battery-CINE-G90-Gold-Mount.html,Anton Bauer | Battery | CINE G90 | Gold Mount,Rental Duration (hr),2,,$35.00,$35.00,Rental Sales,Yes,,$21.00,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/VD2318-1.jpg
149461390176,https://kmrentaleq.com/Anton-Bauer-Battery-Digital-90-Gold-Mount.html,Anton Bauer | Battery | Digital 90 | Gold Mount |,Rental Duration (hr),2,,$25.00,$25.00,Rental Sales,Yes,,$15.00,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/VD1477-1.jpg
715320698492,https://kmrentaleq.com/Anton-Bauer-Battery-Digital-90-V-Mount.html,Anton Bauer | Battery | Digital 90 | V Mount,Rental Duration (hr),2,,$15.00,$15.00,Rental Sales,Yes,,$9.00,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/GP1632-1.jpg
156347995386,https://kmrentaleq.com/Anton-Bauer-Battery-Dionic-HC-Gold-Mount.html,Anton Bauer | Battery | Dionic | HC | Gold Mount,Rental Duration (hr),2,,$20.00,$20.00,Rental Sales,Yes,,$12.00,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/VD2346-1.jpg
144597498824,https://kmrentaleq.com/Anton-Bauer-Battery-Dionic-HCX-Gold-Mount.html,Anton Bauer | Battery | Dionic | HCX | Gold Mount,Rental Duration (hr),2,,$25.00,$25.00,Rental Sales,Yes,,$15.00,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/VD1158-1.jpg
818200133202,https://kmrentaleq.com/Anton-Bauer-Battery-VCLX-Kit.html,Anton Bauer | Battery | VCLX | Kit,Rental Duration (hr),2,,$125.00,$125.00,Rental Sales,Yes,Anton Bauer Battery VCLX | Anton Bauer Charger VCLX | 2x Anton Bauer Charger Cable VCLX | AC Power Cord 3-Pin 18 AWG | XLR 4-Pin Power 10',$75.00,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/VD1003-1.jpg
182006818072,https://kmrentaleq.com/Anton-Bauer-Hot-Swap-Gold-Mount.html,Anton Bauer | Hot Swap | Gold Mount,Rental Duration (hr),2,,$5.00,$5.00,Rental Sales,Yes,,$3.00,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/VD1226-1.jpg
118792747983,https://kmrentaleq.com/Anton-Bauer-P-Tap-Multi-Adapter.html,Anton Bauer | P-Tap | Multi Adapter,Rental Duration (hr),2,,$3.00,$3.00,Rental Sales,Yes,,$1.80,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/VD1174-1.jpg
872173581909,https://kmrentaleq.com/Anton-Bauer-P-Tap-to-XLR-4-Pin-3.html,Anton Bauer | P-Tap to XLR 4-Pin | 3',Rental Duration (hr),2,,$5.00,$5.00,Rental Sales,Yes,,$3.00,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/VD1020-1.jpg
130094567340,https://kmrentaleq.com/Anton-Bauer-PowerTap-to-XLR-4-Pin-9.html,"Anton Bauer | PowerTap to XLR 4-Pin | 9""",Rental Duration (hr),2,,$3.00,$3.00,Rental Sales,Yes,,$1.80,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/VD1011-1.jpg
476641737738,https://kmrentaleq.com/Anton-Bauer-Sandwich-Plate-4-P-Tap.html,Anton Bauer | Sandwich Plate | 4 P-Tap |,Rental Duration (hr),2,,$15.00,$15.00,Rental Sales,Yes,,$9.00,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/VD1014-1.jpg
108040730468,https://kmrentaleq.com/Apple-Box-Full.html,Apple Box | Full,Rental Duration (hr),5,$6.00,$6.00,$5.00,Rental Sales,Yes,,$3.00,Cost of Goods Sold,3rd Party Equipment,Grip & Support,https://kmrentaleq.com/images/P/VD1285-1.jpg
650029006878,https://kmrentaleq.com/Apple-Box-Half.html,Apple Box | Half,Rental Duration (hr),4,$5.00,$5.00,$5.00,Rental Sales,Yes,,$3.00,Cost of Goods Sold,3rd Party Equipment,Grip & Support,https://kmrentaleq.com/images/P/VD1286-1.jpg
382241184124,https://kmrentaleq.com/Apple-Box-Pancake.html,Apple Box | Pancake,Rental Duration (hr),2,$3.00,$3.00,$3.00,Rental Sales,Yes,,$1.80,Cost of Goods Sold,3rd Party Equipment,Grip & Support,https://kmrentaleq.com/images/P/VD1289-1.jpg
136829501995,https://kmrentaleq.com/Apple-Box-Quarter.html,Apple Box | Quarter,Rental Duration (hr),2,$3.00,$3.00,$3.00,Rental Sales,Yes,,$1.80,Cost of Goods Sold,3rd Party Equipment,Grip & Support,https://kmrentaleq.com/images/P/VD1288-1.jpg
149685026150,https://kmrentaleq.com/Apple-Mac-Pro-Cylinder-2013-Kit.html,Apple | Mac Pro | Cylinder | 2013 | Kit,Rental Duration (hr),2,,$375.00,$375.00,Rental Sales,Yes,Apple Mac Pro 12-Core 2.7GHz Late 2013 | Apple Keyboard | Apple Wireless Keyboard | Apple Mighty Mouse | Apple Magic Mouse Wireless Multi-Touch | Apple Neoprene Mouse Pad 8x9 | 2x Apple Adapter Thunderbolt to FireWire 800 | Apple AC Power Cable nMac Pro Late 2013 | Apple USB Extension Cable 3' Apple Keyboard | Tenba Air Case Apple nMac Pro Late 2013 | Tripp Lite Surge Suppressor 8 Outlet | Tripp Lite Network 6 Foot Cord to RJ45 Jacks | Belkin Thunderbolt Express Dock FW800 | Belkin AC Power Adapter | AC Power Cord 3-Pin 18 AWG | StarTech Thunderbolt Cable Male to Male 1m,$225.00,Cost of Goods Sold,3rd Party Equipment,Accessories & Control,https://kmrentaleq.com/images/P/VD1451-1.jpg
439612222266,https://kmrentaleq.com/Apple-MacBook-Pro-15-Touchbar.html,"Apple | MacBook Pro | 15"" | Touchbar |",Rental Duration (hr),2,,$225.00,$225.00,Rental Sales,Yes,,$135.00,Cost of Goods Sold,3rd Party Equipment,Accessories & Control,https://kmrentaleq.com/images/P/macbook152018.jpg
790588440938,https://kmrentaleq.com/Apple-MacBook-Pro-16-2021-M1-Chip.html,"Apple | MacBook Pro | 16"" 2021 | M1 Chip |",Rental Duration (hr),2,,$300.00,$300.00,Rental Sales,Yes,,$180.00,Cost of Goods Sold,3rd Party Equipment,Accessories & Control,https://kmrentaleq.com/images/P/macbook162021.jpg
158119250555,https://kmrentaleq.com/Aputure-1200D-LED-Kit.html,Aputure | 1200D | LED Kit |,Rental Duration (hr),2,,$300.00,$300.00,Rental Sales,Yes,,$180.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/Aputure%201200D.jpg
107804744434,https://kmrentaleq.com/Aputure-1200X.html,Aputure | 1200X | Storm | Blair | Bi-Color | LED |,Rental Duration (hr),2,,$400.00,$400.00,Rental Sales,Yes,,$240.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/1725882518_IMG_2328709.jpg
379553370159,https://kmrentaleq.com/Aputure-300D-LED-Kit.html,Aputure | 300D | LED Kit |,Rental Duration (hr),2,,$75.00,$75.00,Rental Sales,Yes,Aputure 300D Chip On Board (COB) Light Storm LED | Aputure 300D V Mount Battery Plate | Aputure 300D Light Storm Ballast | Aputure 300D Extension Cable 5 Pin XLR | 2 x Aputure 300D Extension Cable 4 Pin XLR | Aputure 300D Grid Reflector | Aputure 300D Remote | Aputure 300D Power Cord to Ballast 120v | Aputure 300D Carry Bag,$45.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/aputure_ls300d_ls_300_d_daylight_1499794532000_1348425.jpg
811213331618,https://kmrentaleq.com/Aputure-300X-LED-Kit.html,Aputure | 300X | LED Kit |,Rental Duration (hr),2,,$95.00,$95.00,Rental Sales,Yes,Aputure 300X Light Storm LED | 300X Hyper Reflector | 300X Ballast V Mount | 300X Remote | 300X 5 Pin XLR Extension Cable | 300X Ballast Mount Clamp | Manfrotto 12' Master Stand,$57.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/aputure%20300x.jpg
191791302545,https://kmrentaleq.com/Aputure-600C-RGB-LED-KIT.html,Aputure | 600C | RGB LED KIT |,Rental Duration (hr),2,,$250.00,$250.00,Rental Sales,Yes,,$150.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/Aputure%20600C.jpg
147704716287,https://kmrentaleq.com/Aputure-600D-LED-Kit.html,Aputure | 600D | LED Kit |,Rental Duration (hr),2,,$195.00,$195.00,Rental Sales,Yes,Aputure 600D Light Storm LED Head | 600D Ballast Control Box V Mount | 600D Reflector | 600D Neutrik AC Cable | 600D Lightning Clamp | 600D VA Remote RC1+ | 600D PowerCon Cord,$117.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/aputure_ls_600d_daylight_point_1561974.jpg
179673660536,https://kmrentaleq.com/Aputure-600X.html,Aputure | 600X | LED Kit |,Rental Duration (hr),2,,$225.00,$225.00,Rental Sales,Yes,,$135.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/Aputure%20600X.jpg
174609109611,https://kmrentaleq.com/Aputure-80C.html,Aputure | 80C | Blair | Storm LED |,Rental Duration (hr),2,,$50.00,$50.00,Rental Sales,Yes,,$30.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/1732017718_IMG_2374694.jpg
176573176198,https://kmrentaleq.com/Aputure-CF12-Fresnel.html,Aputure | CF12 | Fresnel |,Rental Duration (hr),2,,$60.00,$60.00,Rental Sales,Yes,,$36.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/aputure_ap20334a30_cf12_fresnel_1732095485_1863232.jpg
245314933203,https://kmrentaleq.com/Aputure-CF4-Fresnel.html,Aputure | CF4 | Fresnel |,Rental Duration (hr),2,,$15.00,$15.00,Rental Sales,Yes,,$9.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/1732017718_IMG_2374122.jpg
124172955245,https://kmrentaleq.com/Aputure-CS15-Electro-Storm-RGB-Kit.html,Aputure | CS15 | Electro Storm | RGB | Kit |,Rental Duration (hr),2,,$500.00,$500.00,Rental Sales,Yes,,$300.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/1705585522_IMG_2170653.jpg
144716310948,https://kmrentaleq.com/Aputure-Litedome-Mini-II-kit.html,Aputure | Litedome Mini II | Kit,Rental Duration (hr),2,,$35.00,$35.00,Rental Sales,Yes,"Aputure Light Dome Mini II (21.5"") Softbox | Light Dome Mini II 40 degree Grid | Light Dome Mini II Grid Cloth Diffusion | Light Dome Mini II Inner Gold Silver Baffle | Light Dome Mini II Gel Holder",$21.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/litedome%20mini%20grid.jpg
162680168896,https://kmrentaleq.com/Aputure-Litedome-Softbox-kit.html,Aputure | Litedome | Softbox | Kit |,Rental Duration (hr),2,,$30.00,$30.00,Rental Sales,Yes,"Aputure Light Dome (35"") Softbox | Aputure Speedring | Aputure Softbox Inner Baffle | Aputure Softbox Outer Baffle",$18.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/aputure%20litedome.jpg
900028960409,https://kmrentaleq.com/Aputure-STORM-400x-Tunable-White-LED.html,Aputure | STORM 400x | Tunable White LED Monolight |,Rental Duration (hr),2,,$200.00,$200.00,Rental Sales,Yes,,$120.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/1753098660_IMG_2533104.jpg
118477339065,https://kmrentaleq.com/Aputure-Spotlight-26-Degree-Lens.html,Aputure | Spotlight | 26 Degree Lens |,Rental Duration (hr),2,,$20.00,$20.00,Rental Sales,Yes,,$12.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/aputure%20spotlight%20lens.jpg
173244521399,https://kmrentaleq.com/Aputure-Spotlight-36-Degree-Lens.html,Aputure | Spotlight | 36 Degree Lens |,Rental Duration (hr),2,,$20.00,$20.00,Rental Sales,Yes,,$12.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/aputure%20spotlight%20lens.jpg
562335451036,https://kmrentaleq.com/Aputure-Spotlight-MAX-50-Degree-Lens.html,Aputure | Spotlight MAX | 50 Degree Lens |,Rental Duration (hr),2,,$50.00,$50.00,Rental Sales,Yes,,$30.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/1702559788_IMG_2146026.jpg
121528749527,https://kmrentaleq.com/Aputure-Spotlight-MAX.html,Aputure | Spotlight MAX w/ 19 Degree lens | Kit |,Rental Duration (hr),2,,$150.00,$150.00,Rental Sales,Yes,,$90.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/aputure_apxf043a30_aputure_spotlight_max_kit_1702559429_1800071.jpg
132816005536,https://kmrentaleq.com/Aputure-Spotlight-Mount-Kit.html,Aputure | Spotlight Mount | Kit |,Rental Duration (hr),2,,$70.00,$70.00,Rental Sales,Yes,Aputure Spotlight mount | Aputure Spotlight 19 degree lens | Spotlight Gel Holder | Spotlight Gobo Holder w/ Rosco B size Gobos | Spotlight Iris,$42.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/aputure%20spot%2019.jpg
100120645924,https://kmrentaleq.com/Aputurext52.html,Aputure | Storm XT52 | Monolight | LED |,Rental Duration (hr),2,,$750.00,$750.00,Rental Sales,Yes,,$450.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/1743521064_IMG_2462547.jpg
156229737394,https://kmrentaleq.com/Arri-1.2K-Fresnel-HMI-Kit.html,Arri | 1.2K | Fresnel | HMI | Kit,Rental Duration (hr),2,,$210.00,$210.00,Rental Sales,Yes,Arri HMI Fresnel Head 1200W 1.2K | Arri 575W/1200W Head Cable | Arri 575W/1200W HMI Ballast,$126.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/ARRI12KIT.jpg
161546758400,https://kmrentaleq.com/Arri-12-18k-ArriMax.html,Arri | 12/18k | ArriMax | HMI | Kit |,Rental Duration (hr),2,,"$1,550.00","$1,550.00",Rental Sales,Yes,,$930.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/Arri_563500_Arrimax_18_12_KW_HMI_1282236338_417447.jpg
181776482131,https://kmrentaleq.com/Arri-12-18kW-HMI-Fresnel-System.html,Arri | 12/18kW HMI Fresnel System |,Rental Duration (hr),2,,"$1,500.00","$1,500.00",Rental Sales,Yes,,$900.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/1570118995_192478.jpg
740937289471,https://kmrentaleq.com/Arri-2X-Extender-PL.html,Arri | 2X Extender | PL |,Rental Duration (hr),2,,$40.00,$40.00,Rental Sales,Yes,,$24.00,Cost of Goods Sold,3rd Party Equipment,Lenses,https://kmrentaleq.com/images/P/VD1029-1.jpg
775333050512,https://kmrentaleq.com/Arri-4K-Fresnel-HMI-Kit.html,Arri | 4K | Fresnel | HMI | Kit,Rental Duration (hr),2,,$350.00,$350.00,Rental Sales,Yes,Arri Studio Fresnel HMI Head 4000W 60 Amp 110/220v 4K | Arri 2500/4000W Head Cable 50' 2.5K/4K | Arri HMI Ballast 2.5K/4K | Bates Cable 25' 60 Amps 125V,$210.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/CM1523-1.jpg
770618798454,https://kmrentaleq.com/Arri-5K-Tungsten-Fresnel-Kit.html,Arri | 5K |Tungsten | Fresnel | Kit,Rental Duration (hr),2,,$200.00,$200.00,Rental Sales,Yes,Arri Fresnel Compact Head 5000W Tungsten 5K | Bates Cable 25' 60 Amps 125V,$120.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/LT1003-1.jpg
948437711977,https://kmrentaleq.com/Arri-6K-Fresnel-HMI-Kit.html,Arri | 6K | Fresnel | HMI | Kit,Rental Duration (hr),2,,$450.00,$450.00,Rental Sales,Yes,Arri Studio Fresnel HMI Head 6000W 60 Amp 110/220v 6K | Arri 6000W Head Cable 25' 6K | Arri HMI Ballast 6K | Bates Cable 25' 60 Amps 125V,$270.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/LT3310-1.jpg
964858281543,https://kmrentaleq.com/Arri-AS18-1.8K-HMI-Kit.html,Arri | AS18 | 1.8K | HMI | Kit,Rental Duration (hr),2,,$275.00,$275.00,Rental Sales,Yes,Arri M18 HMI Head 1800W 1.8K | Arri M18 Barndoor | Arri M18 1200/1800W Ballast | Arri M18 Head Cable 50' | Arri Sun 1.2K-M18 Drop In Lens Case | Arri Sun 1.2K-M18 Lens Frosted Gray Rim | Arri Sun 1.2K-M18 Lens M edium Black Rim | Arri Sun 1.2K-M18 Lens Spot Blue Rim | Arri Sun 1.2K-M18 Lens Super Wide Orange Rim | Arri Sun 1.2K-M18 Lens Wide Green Rim | Avenger High Roller Stand 19.5',$165.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/LT1007-1.jpg
919443918898,https://kmrentaleq.com/Arri-Baseplate-15mm-MBP-1-Kit.html,Arri | Baseplate | 15mm | MBP-1 | Kit,Rental Duration (hr),2,,$15.00,$15.00,Rental Sales,Yes,"Arri Baseplate 15mm MBP-1 | Arri Platform DSLR Riser 1 | 2x Rod 15mm 3""",$9.00,Cost of Goods Sold,3rd Party Equipment,Accessories & Control,https://kmrentaleq.com/images/P/VD2114-1-01.jpg
162135559196,https://kmrentaleq.com/Arri-FF-5-Kit.html,Arri | FF-5 | Kit,Rental Duration (hr),2,,$40.00,$40.00,Rental Sales,Yes,"Arri FF-5 | Arri FF-5 19mm Adapter | Arri Focus Knob Long | Arri Focus Knob Short | Arri Focus Whip Knob | Arri Focus Whip Shaft 12"" | Ari Speed Crank | Arri Gear 0.8 43T | Arri Gear 0.8 35T",$24.00,Cost of Goods Sold,3rd Party Equipment,Accessories & Control,https://kmrentaleq.com/images/P/VD1026-1.jpg
599305939123,https://kmrentaleq.com/Arri-Fresnel-1000W-Head-Tungsten.html,Arri | Fresnel | 1000W | Head | Tungsten,Rental Duration (hr),2,,$40.00,$40.00,Rental Sales,Yes,,$24.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/LT1015-1.jpg
101310265798,https://kmrentaleq.com/Arri-Fresnel-150W-Head-Tungsten.html,Arri | Fresnel | 150W | Head | Tungsten,Rental Duration (hr),2,,$10.00,$10.00,Rental Sales,Yes,,$6.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/LT3531-1.jpg
627550696088,https://kmrentaleq.com/Arri-Fresnel-300W-Head-Tungsten.html,Arri | Fresnel | 300W | Head | Tungsten,Rental Duration (hr),2,,$20.00,$20.00,Rental Sales,Yes,,$12.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/LT1010-1.jpg
127871507400,https://kmrentaleq.com/Arri-Fresnel-650W-Head-Tungsten.html,Arri | Fresnel | 650W | Head | Tungsten,Rental Duration (hr),2,,$30.00,$30.00,Rental Sales,Yes,,$18.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/LT1011-1.jpg
176484588457,https://kmrentaleq.com/Arri-Fresnel-Compact-Head-2000W-Tungsten-2K.html,Arri | Fresnel Compact | Head | 2000W | Tungsten | 2K,Rental Duration (hr),2,,$50.00,$50.00,Rental Sales,Yes,,$30.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/LT1019-1.jpg
183955965406,https://kmrentaleq.com/Arri-Fresnel-Compact-Head-5000W-Tungsten-5K.html,Arri | Fresnel Compact | Head | 5000W | Tungsten | 5K,Rental Duration (hr),2,,$200.00,$200.00,Rental Sales,Yes,,$120.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/LT1003-1-01.jpg
899874822437,https://kmrentaleq.com/Arri-LMB-25-Matte-Box-Kit.html,Arri | LMB-25 | Matte Box | Kit,Rental Duration (hr),2,,$55.00,$55.00,Rental Sales,Yes,Arri LMB-25 Matter Box | 3x Arri Filter Tray 4x5 - 4x4 | Arri LMB-25 3-Stage | Arri LMB-25 Top Flag | Arri Clamp Adapter 95mm | Arri Clamp Adapter 110mm | Arri Clamp Adapter 114mm,$33.00,Cost of Goods Sold,3rd Party Equipment,Accessories & Control,https://kmrentaleq.com/images/P/VD1899-1.jpg
165541300467,https://kmrentaleq.com/Arri-LMB-5-Matte-Box-Kit.html,Arri | LMB-5 | Matte Box | Kit,Rental Duration (hr),2,,$55.00,$55.00,Rental Sales,Yes,Arri LMB-5 | Arri LMB-5 Top Flag | Arri Clamp Adapter 114mm,$33.00,Cost of Goods Sold,3rd Party Equipment,Accessories & Control,https://kmrentaleq.com/images/P/VD1024-1-01.jpg
745266645249,https://kmrentaleq.com/Arri-M18-1.8K-HMI-Kit.html,Arri | M18 | 1.8K | HMI | Kit,Rental Duration (hr),2,,$300.00,$300.00,Rental Sales,Yes,Arri M18 HMI Head 1800W 1.8K | Arri M18 Barndoor | Arri M18 1200/1800W Ballast | 2x Arri M18 Head Cable | Avenger High Roller Stand 19.5',$180.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/LT1007-1.jpg
739896434078,https://kmrentaleq.com/Arri-M40-2.5K-4K-HMI-Kit.html,Arri | M40 | 2.5K-4K HMI | Kit,Rental Duration (hr),2,,$525.00,$525.00,Rental Sales,Yes,Arri M40 HMI Head 2500/4000W 2.5K-4K | Arri M40 Barndoor | Arri 2500/4000W Head Cable 25' 2.5K/4K | Arri HMI Ballast 2.5K/4K | Bates Cable 25' 60 Amps 125V,$315.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/AM40-1.jpg
864950407866,https://kmrentaleq.com/Arri-M90-9K-6K-High-Speed-Kit.html,Arri | M90 | 9K/6K | High Speed | Kit,Rental Duration (hr),2,,$950.00,$950.00,Rental Sales,Yes,"Arri M90 9K/6K HMI Head | Arri M90 9K/6K HMI Head Barndoor | Arri M90 9K/6K Ballast High Speed | Arri M90 9K/6K Head Cable 50' | Arri M90 9K/6K Head Cable 25' | Arri M90 HMI Scrim Double 23"" | Arri M90 HMI Scrim Single 23"" | Cam-Lok Hard Turnaround Suicide Male/Male | Cam-Lok #2 Cable (Banded 5 Wire) 25' | Osram M90 9K Bulb Single End | Osram M90 6K Bulb Single End",$570.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/LT3607-1.jpg
106010879701,https://kmrentaleq.com/Arri-MB-18-Kit.html,Arri | MB-18 | Kit,Rental Duration (hr),2,,$55.00,$55.00,Rental Sales,Yes,Arri MB 18 Matte Box | SKB Case 2015-7,$33.00,Cost of Goods Sold,3rd Party Equipment,Accessories & Control,https://kmrentaleq.com/images/P/VD1025-1.jpg
